_id,transactionId,amount,category,date,description,type
60a7c1b9e4b0c12345678941,41,3000,Entertainment,2025-03-15,Dining out,Expense
60a7c1b9e4b0c12345678942,42,10000,Freelance,2025-03-20,Freelance project payment,Income
60a7c1b9e4b0c12345678943,43,6500,Groceries,2025-03-25,,Expense
60a7c1b9e4b0c12345678944,44,2000,Transportation,2025-03-28,Cab fare,Expense
60a7c1b9e4b0c12345678945,45,6000,Investment,2025-03-31,Mutual fund dividend,Income
60a7c1b9e4b0c12345678946,46,88000,Salary,2025-04-01,Monthly salary,Income
60a7c1b9e4b0c12345678947,47,16000,Rent,2025-04-02,Apartment rent,Expense
60a7c1b9e4b0c12345678948,48,4800,Groceries,2025-04-06,Weekly grocery shopping,Expense
60a7c1b9e4b0c12345678949,49,3000,Utilities,2025-04-10,Internet bill,Expense
60a7c1b9e4b0c12345678950,50,1500,Entertainment,2025-04-15,Streaming subscription,Expense
60a7c1b9e4b0c12345678951,51,12000,Freelance,2025-04-20,Freelance project payment,Income
60a7c1b9e4b0c12345678952,52,7000,Groceries,2025-04-25,,Expense
60a7c1b9e4b0c12345678953,53,1800,Transportation,2025-04-28,Fuel,Expense
60a7c1b9e4b0c12345678954,54,7000,Investment,2025-04-30,Fixed deposit interest,Income
60a7c1b9e4b0c12345678955,55,90000,Salary,2025-05-01,Monthly salary,Income
60a7c1b9e4b0c12345678956,56,16500,Rent,2025-05-02,Apartment rent,Expense
60a7c1b9e4b0c12345678957,57,5000,Groceries,2025-05-06,Weekly grocery shopping,Expense
60a7c1b9e4b0c12345678958,58,3200,Utilities,2025-05-10,Electricity bill,Expense
60a7c1b9e4b0c12345678959,59,2000,Entertainment,2025-05-15,Movie tickets,Expense
60a7c1b9e4b0c12345678960,60,15000,Freelance,2025-05-20,Freelance project payment,Income
60a7c1b9e4b0c12345678961,61,7500,Groceries,2025-05-21,,Expense
60a7c1b9e4b0c12345678962,62,1900,Transportation,2025-05-21,Fuel,Expense
60a7c1b9e4b0c12345678963,63,8000,Investment,2025-05-21,Dividend payment,Income
60a7c1b9e4b0c12345678964,64,1200,Entertainment,2025-05-10,Streaming subscription,Expense
60a7c1b9e4b0c12345678965,65,3500,Groceries,2025-05-12,Weekly grocery shopping,Expense
60a7c1b9e4b0c12345678966,66,2500,Utilities,2025-05-15,Water bill,Expense
60a7c1b9e4b0c12345678967,67,1800,Transportation,2025-05-18,Cab fare,Expense
60a7c1b9e4b0c12345678968,68,10000,Freelance,2025-05-19,Freelance project payment,Income
60a7c1b9e4b0c12345678969,69,4000,Groceries,2025-05-20,,Expense
60a7c1b9e4b0c12345678970,70,1500,Entertainment,2025-05-21,Dining out,Expense
60a7c1b9e4b0c12345678971,71,5000,Investment,2025-05-21,Mutual fund dividend,Income
60a7c1b9e4b0c12345678972,72,2000,Transportation,2025-05-21,Fuel,Expense
60a7c1b9e4b0c12345678973,73,3000,Utilities,2025-05-21,Internet bill,Expense
60a7c1b9e4b0c12345678974,74,6000,Groceries,2025-05-21,Weekly grocery shopping,Expense
60a7c1b9e4b0c12345678975,75,1200,Entertainment,2025-05-21,Streaming subscription,Expense
